record_id,text,audio,image,label,source,source_id,collected_at,dataset_name,dataset_split,appId,appName,votesUp,playtimeForeverHours,source_label,auto_label,confidence,annotation_backend,human_label,final_label,needs_review,review_reason,reviewer,reviewed_at,review_changed
876c3a2b887ca095e207,"Wrong item sent.

I got the shippment quickly. But wrong items was sent. I have to return it to the seller. I got the refund pretty quick, but only for the value of product. I spent about &10 for two way shipping without geting anything.",,,negative,amazon_polarity,train:0,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.9975636005401611,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,negative,False,,,,False
a083e1aed00f587e79c7,"Just Okay

This book is 'just okay.' I came away from reading the book not knowing too much about the Amish. Sue prefers to keep most of the information to herself. She does, however, make sure she gets in adequate writing about all of her 'accomplishments' -- and makes apparent her desire to return to her old life of those accomplishments. (Big hairy deal!) Personally I think she's a bore....and a boor; actually I found her to be pompous. She had a wonderful idea which could have been made better. Sue Bender, you need to grow up.",,,negative,amazon_polarity,train:3,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.5222958326339722,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,negative,negative,False,low_confidence,Motyan,2026-08-30T13:51:10.384243+00:00,False
888df5307781a263d16a,"Incomplete Edition

The hard cover reprint edition offered by Amazon and others is incomplete. It contains Part 1 only. Note the page count (208) and compare it to the trade paperback versions (310-324 page count).Avoid this edition.",,,negative,amazon_polarity,train:4,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.9996706247329712,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,negative,False,,,,False
86fb127b095992e4f568,"Poor DVD

Has too many interviews with people at the Live THomas day in Penn. My kids were annoyed and hated this DVD.",,,negative,amazon_polarity,train:6,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.9996494054794312,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,negative,False,,,,False
29d10e394d68ce7aa512,"No,No,No This is not for me.....

I own the vest squeem and I absolutely love it!!!!! But this waist cincher is not for me. I'm not gonna say don't buy it because alot of women are shaped different.I just got it yesterday and I'm sending it back. It fit well until my back fat overlapsed over the top of the cincher and thats not attractive at all. So if you know you have more than enough back fat, this is not for you. I tried to adjust it by pulling it up or down and that didnt even help. I wear a size medium, so its my correct size. But it doesnt give me the full coverage support that the vest gives me. The vest covers all the back fat and everything. But I still give Squeem thumbs up though!!! :-)",,,negative,amazon_polarity,train:8,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,positive,0.7968249917030334,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,positive,positive,False,low_confidence,Motyan,2026-08-30T13:51:10.384243+00:00,False
092f4fd0c47003f05b20,"I fell asleep.

I know it sounds hard to believe, this movie being so loud and ""spectacular,"" but I was just so bored by the giant gizmos shooting at each other again, I fell asleep.",,,negative,amazon_polarity,train:11,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.9997068047523499,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,negative,False,,,,False
7b5c9dffcdebcfe23665,"The only stars is the rocker

You make it in rock and you think you can do it all. This book proves you can't. It is a truly poor excuse for a collection of haiku and it is particularly offensive because there are those who will buy it thinking it the real thing. Do yourself a favor and buy Higginson. You can look at this in a few minutes in the bookstore. It might be good for advanced classes in ""don't let this happen to you!""",,,negative,amazon_polarity,train:12,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.999524712562561,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,negative,False,,,,False
3c6b59356c4617129fbf,"terrible... absolutely terrible

This is quite possibly the absolute worst thing I've ever heard in my entire life. If you're considering buying this CD ,I suggest you go outside, find a construction site, walk up to the guy with the jackhammer, and press your ear to the side of it. If you like how that sounds, then go buy the CD. If not, well.... ""Galang,"" the reggaeton hit, isn't even something to wave a steamy pile of you-know-what at... and the music just goes downhill from there. ""bucky done gun"" (which doesn't even make any sense as a title) is good for use as a humorous conversation starter, but that just about exhausts its usefulness or likeability... much the same as the rest of the CD.",,,negative,amazon_polarity,train:13,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.9997636675834656,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,negative,False,,,,False
af262bd3abfaa1e16e75,"Break too easily

My step-daughter got a set of glasses, and 3 family members cut themselves because they broke as they were washing them. I thought I'd replace her [poorly made] and dangerous ones with these, due to what I thought of as the quality name brand Anchor Hocking. She already got a different set of glasses, so I kept them for myself. One was broken in the box when I opened them up. I thought no big deal. I started using them, and within a month, of the 16 total, I am down to only one large one and four small ones. I also have 2 less butterfly stitches and 6 less bandaids in my cabinet. My daughter informed me that these were the EXACT glasses she experienced the same problems with. I am sorry to discover that Anchor Hocking is no longer going to be associated with quality, as it used to be in the past.",,,negative,amazon_polarity,train:14,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,negative,0.9995686411857605,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,negative,False,,,,False
9b307eda6b2f3383d510,"Good support, but expensive and not durable!

I tried these Jobst 15-20 mmHg pantyhose in my search for high quality therapeutic support pantyhose for a severe circulation problem in one of my legs. I did find them a little difficult to put on, but once they were on they stayed in place nicely and provided great support.The only problem I had was, like the other review stated...they ran the second time I wore them. For as expensive as these pantyhose are, they should last longer than 2 wearings.They are not too sheer, if that is something you are looking for in support hose. They look more like tights when they are on your legs. I did find the beige shade to be a little more like a pale nude shade.",,,negative,amazon_polarity,train:16,2026-08-30T13:47:20.457255+00:00,mteb/amazon_polarity,train,,,,,negative,positive,0.9419413805007935,transformers:distilbert/distilbert-base-uncased-finetuned-sst-2-english,,positive,False,,,,False
