record_id,source,char_length,word_count
876c3a2b887ca095e207,amazon_polarity,237,40
a083e1aed00f587e79c7,amazon_polarity,536,91
888df5307781a263d16a,amazon_polarity,233,35
86fb127b095992e4f568,amazon_polarity,118,23
29d10e394d68ce7aa512,amazon_polarity,707,136
092f4fd0c47003f05b20,amazon_polarity,182,31
7b5c9dffcdebcfe23665,amazon_polarity,431,82
3c6b59356c4617129fbf,amazon_polarity,704,123
af262bd3abfaa1e16e75,amazon_polarity,825,143
9b307eda6b2f3383d510,amazon_polarity,707,122
f67d9a18935dda2d59cb,amazon_polarity,498,81
56bb1a7153afbf752863,amazon_polarity,521,83
d0e46d91deeedd193d0d,amazon_polarity,227,39
010bb008ebfe937e2d6e,amazon_polarity,756,119
0dd00e6e54fb573ac631,amazon_polarity,471,82
0f2738b0f399f58d64b6,amazon_polarity,202,33
78d199d7fca279ffe90e,amazon_polarity,136,24
f3370cfc984bb860a544,amazon_polarity,697,111
9eadc54783d1874764b9,amazon_polarity,511,81
174dc3b3ee26f0003d61,amazon_polarity,141,25
af7ff553d592488fa89b,amazon_polarity,718,129
20dde4dba9a11a0bc29f,amazon_polarity,183,29
1dd44bc6f5f40a087e39,amazon_polarity,186,31
3b6eb72e897a29827cf5,amazon_polarity,211,37
7dbacd550f07035216d1,amazon_polarity,638,107
caa2cfe0642092ea97ec,amazon_polarity,205,39
cd01e854907c74280656,amazon_polarity,146,29
49fd9b2845b0135d5d96,amazon_polarity,286,46
184ddc0fc9a07afab563,amazon_polarity,301,51
596b93bc34411caa3509,amazon_polarity,827,138
05e4b44f731bcfcdb79e,amazon_polarity,787,139
3feda05772f6b7216c4d,amazon_polarity,432,75
c888f7e25b92ef3b0490,amazon_polarity,427,69
02c565e8b63de373dcc3,amazon_polarity,551,95
077e9cebf006fc2a1d42,amazon_polarity,588,96
1f6db5f5bfcd23c35cda,amazon_polarity,315,54
baf5cdfd6bef0fa2c0ab,amazon_polarity,137,18
3f89d66f13816030097a,amazon_polarity,490,76
c1617f6bd20acf0dc35e,amazon_polarity,469,87
630712b1d6059c4683ab,amazon_polarity,471,79
27af29da7f57be290106,amazon_polarity,241,40
9d872186758d9ae3a23b,amazon_polarity,442,66
5eccda392b590961ad41,amazon_polarity,874,133
79dd217ea6ca70145f1e,amazon_polarity,535,104
e4f80a7878df9242c40c,amazon_polarity,360,64
740e4884fa0a26a39345,amazon_polarity,478,88
c1a395b335d89a821c15,amazon_polarity,475,81
835796d115b02635bd24,amazon_polarity,623,112
e1d065917116432e46f8,amazon_polarity,522,94
cc883810e748582c4937,amazon_polarity,190,28
7127c7424e99e49f2c0b,amazon_polarity,331,57
cbd380bcebf62e8c65c3,amazon_polarity,311,56
f064ad1a510697beb06c,amazon_polarity,265,46
cfe4626f2d0780bce698,amazon_polarity,852,162
e0ca2af58c31b6206484,amazon_polarity,193,34
0de334d1c9055c6ae9df,amazon_polarity,153,28
1a067b062802b0e17b01,amazon_polarity,840,154
c29b9a1f43e86c5ad7cd,amazon_polarity,361,69
9aea53ae2888aa2aec42,amazon_polarity,996,166
5efe26caa30d60f36501,amazon_polarity,477,77
31068caa9ac98df1829c,amazon_polarity,142,26
57d48472eb16ef5b89c8,amazon_polarity,183,33
369e5dffe71d66e641b4,amazon_polarity,207,40
799e197a79ca774abc06,amazon_polarity,344,55
312001643d7b5ff992dc,amazon_polarity,461,85
1030b45288598c9b2928,amazon_polarity,804,138
b07b47d86dd4d9b3167b,amazon_polarity,348,57
c7a9bc584344b26226a8,amazon_polarity,521,84
6b6d403eafc3f55b14bc,amazon_polarity,656,108
afca402d28a286a68211,amazon_polarity,211,35
51d6d0ed369ec632f1b2,amazon_polarity,152,24
74b589dc7b2944d8b107,amazon_polarity,756,132
9064f9f88f1e3db21f9d,amazon_polarity,204,34
8396a42df3c8259fe7b4,amazon_polarity,446,85
13ad917239189a9c01df,amazon_polarity,254,42
582ef88e991e27215c5e,amazon_polarity,689,130
cc03850a9b9f5d59662c,amazon_polarity,143,27
45e8631b793573673d42,amazon_polarity,232,43
